timestamp,quantity,price,fee,amount,side
2024-03-07 23:28,0.1,94656000,4732.8,-9470333,0
2024-03-07 23:30,0.011,94686000,520.77,1041025,1
2024-03-07 23:30,0.02093746,94686000,991.24,1981493,1
2024-03-07 23:30,0.01056077,94686000,499.97,999457,1
2024-03-07 23:30,0.01415855,94686000,670.3,1339946,1
2024-03-07 23:31,0.1,94565000,4728.25,-9461229,0
2024-03-07 23:31,0.0433,94567000,2047.37,4092703,1
2024-03-07 23:31,0.00105637,94663000,49.99,99949,1
2024-03-07 23:32,0.0989,94654000,4680.64,9356599,1
2024-03-08 00:31,0.00986257,94343000,465.23,-930930,0
2024-03-08 00:31,0.01678109,94343000,791.58,-1583970,0
2024-03-08 00:35,0.00105673,94631000,49.99,99949,1
2024-03-08 00:35,0.00500062,94631000,236.6,472977,1
2024-03-08 00:35,0.00064265,94631000,30.4,60784,1
2024-03-08 00:35,0.02,94631000,946.31,1891673,1
2024-03-08 00:41,0.0032258,94703000,152.74,-305646,0
2024-03-08 00:54,0.0032,94988000,151.98,303809,1
2024-03-08 00:55,0.0055,94878000,260.91,-522090,0
2024-03-08 00:55,0.02128995,94878000,1009.97,-2020958,0
2024-03-08 00:56,0.02107392,94838000,999.3,1997609,1
2024-03-08 01:00,0.05,94737000,2368.42,-4739219,0
2024-03-08 01:00,0.00550875,94635000,260.66,-521582,0
2024-03-08 01:00,0.00341083,94621000,161.36,-322898,0
2024-03-08 01:00,0.00590957,94621000,279.58,-559449,0
2024-03-08 01:00,0.0057,94733000,269.98,539708,1
2024-03-08 01:00,0.028538,94621000,1350.14,-2701645,0
2024-03-08 01:10,0.01405934,94708000,665.76,1330866,1
2024-03-08 01:10,0.01989651,94708000,942.17,1883416,1
2024-03-08 01:10,0.00527933,94708000,249.99,499744,1
2024-03-08 01:10,0.00224754,94710000,106.43,212758,1
2024-03-08 01:10,0.00416482,94708000,197.22,394244,1
2024-03-08 01:10,0.02011835,94710000,952.7,1904456,1
2024-03-08 01:10,0.0145112,94710000,687.17,1373668,1
2024-03-08 01:10,0.00784515,94710000,371.5,742642,1
2024-03-08 01:10,0.00527776,94710000,249.92,499606,1
2024-03-08 01:13,0.03130505,94411000,1477.77,-2957019,0
2024-03-08 01:13,0.01869495,94414000,882.53,-1765948,0
2024-03-08 01:13,0.04994936,94403000,2357.68,-4717728,0
2024-03-08 01:14,0.03981118,94453000,1880.14,-3762166,0
2024-03-08 01:14,0.02,94568000,945.68,1890414,1
2024-03-08 01:14,0.03,94568000,1418.52,2835621,1
2024-03-08 01:14,0.00426,94453000,201.18,-402571,0
2024-03-08 01:19,0.0042,94686000,198.84,397482,1
2024-03-08 01:19,0.02,94686000,946.86,1892773,1
2024-03-08 01:19,0.02,94688000,946.88,1892813,1
2024-03-08 01:19,0.03,94688000,1420.32,2839219,1
2024-03-08 01:19,0.01978851,94689000,936.87,1872817,1
2024-03-08 01:28,0.02022126,94677000,957.24,-1915446,0
2024-03-08 01:29,0.0023184,94787000,109.87,219644,1
2024-03-08 01:29,0.0179816,94787000,852.21,1703569,1
2024-03-08 01:37,0.03349342,94640000,1584.9,-3171403,0
2024-03-08 01:37,0.0091623,94640000,433.56,-867554,0
2024-03-08 01:37,0.01650658,94640000,781.09,-1562964,0
2024-03-08 02:07,0.00214865,94994000,102.05,204006,1
2024-03-08 02:07,0.04785135,94994000,2272.79,4543318,1
2024-03-08 02:13,0.05,95105000,2377.62,-4757628,0
2024-03-08 02:16,0.02436307,95227000,1160.01,2318862,1
2024-03-08 02:16,0.00390025,95193000,185.63,-371463,0
2024-03-08 02:16,0.04609975,95193000,2194.18,-4390568,0
2024-03-08 02:25,0.0152,95339000,724.57,-1449878,0
2024-03-08 02:27,0.00256608,95182000,122.12,244122,1
2024-03-08 02:27,0.04743392,95182000,2257.42,4512597,1
2024-03-08 02:59,0.05,94893000,2372.32,-4747023,0
2024-03-08 03:00,0.00032079,95066000,15.24,30480,1
2024-03-08 03:00,0.000663,95066000,31.51,62997,1
2024-03-08 03:00,0.00811825,95066000,385.88,771383,1
2024-03-08 03:00,0.04089796,95066000,1944.0,3886061,1
2024-03-08 03:55,0.0041,94925000,194.59,-389387,0
2024-03-08 03:55,0.00601714,94925000,285.58,-571463,0
2024-03-08 03:55,0.03596206,94927000,1706.88,-3415478,0
2024-03-08 03:57,8.222e-05,94930000,3.9,-7809,0
2024-03-08 04:02,0.00087331,94982000,41.47,-82991,0
2024-03-08 04:03,0.05,95189000,2379.72,4757070,1
2024-03-08 04:05,0.00399502,95164000,190.09,379991,1
2024-03-08 04:05,0.04300498,95164000,2046.26,4090479,1
2024-03-08 04:08,0.02595302,95035000,1233.22,-2467679,0
2024-03-08 04:08,0.0037,95035000,175.81,-351806,0
2024-03-08 04:08,0.02034698,95035000,966.83,-1934642,0
2024-03-08 04:27,0.05,94682000,2367.05,4731732,1
2024-03-08 05:33,0.01600681,95162000,761.62,1522478,1
2024-03-08 05:33,0.02924048,95089000,1390.22,-2781839,0
2024-03-08 05:35,0.002,94997000,94.99,189899,1
2024-03-08 05:37,0.00530898,94901000,251.91,-504080,0
2024-03-08 05:37,0.00050906,94901000,24.15,-48335,0
2024-03-08 05:37,0.00814137,94901000,386.31,-773011,0
2024-03-08 05:37,0.00817389,94901000,387.85,-776099,0
2024-03-08 05:37,0.00068152,94901000,32.33,-64710,0
2024-03-08 05:40,0.00263325,94905000,124.95,-250034,0
2024-03-08 05:54,0.00105347,94921000,49.99,99946,1
2024-03-08 05:54,0.05,94831000,2370.77,-4743921,0
2024-03-08 05:54,0.05,94832000,2370.8,-4743971,0
2024-03-08 05:55,0.00105347,94908000,49.99,99932,1
2024-03-08 05:59,0.0449,94800000,2128.26,4254391,1
2024-03-08 05:59,0.00105485,94800000,49.99,99949,1
2024-03-08 05:59,0.02000914,94804000,948.47,1895998,1
2024-03-08 05:59,0.00035595,94804000,16.87,33728,1
2024-03-08 06:08,0.00581065,94331000,274.06,-548399,0
2024-03-08 06:16,0.00105797,94516000,49.99,99945,1
2024-03-08 06:19,0.05,94612000,2365.3,4728234,1
2024-03-08 06:21,0.023,94621000,1088.14,2175194,1
2024-03-08 06:23,0.02540767,94489000,1200.37,-2401946,0
2024-03-08 06:23,0.00482483,94490000,227.94,-456127,0
2024-03-08 06:23,0.02459233,94489000,1161.85,-2324867,0
2024-03-08 06:23,0.04517517,94490000,2134.3,-4270737,0
2024-03-08 06:24,0.04908028,94593000,2321.32,4640329,1
2024-03-08 06:24,0.00042286,94593000,19.99,39979,1
2024-03-08 06:24,7.4e-05,94593000,3.49,6996,1
2024-03-08 06:24,0.00021143,94593000,9.99,19989,1
2024-03-08 06:24,0.00021143,94593000,9.99,19989,1
2024-03-08 06:25,0.01064547,94469000,502.83,-1006170,0
2024-03-08 06:25,0.0018,94469000,85.02,-170130,0
2024-03-08 06:25,0.00010364,94469000,4.89,-9796,0
2024-03-08 07:12,0.02042659,94638000,966.56,1932165,1
2024-03-08 07:12,0.00833276,94638000,394.29,788201,1
2024-03-08 07:12,0.02124065,94638000,1005.08,2009167,1
2024-03-08 07:36,0.00694061,94502000,327.95,-656230,0
2024-03-08 07:39,0.00546905,94464000,258.31,-516887,0
2024-03-08 07:39,0.00016548,94464000,7.81,-15640,0
2024-03-08 07:43,0.0251,94333000,1183.87,2366574,1
2024-03-08 07:45,0.01631399,94267000,768.93,-1538640,0
2024-03-08 07:45,0.00552269,94304000,260.4,-521073,0
2024-03-08 07:45,0.05,94309000,2357.72,-4717808,0
2024-03-08 08:16,0.01084609,94357000,511.7,1022892,1
2024-03-08 08:16,0.004,94357000,188.71,377239,1
2024-03-08 08:16,0.0105,94357000,495.37,990253,1
2024-03-08 08:16,0.00064049,94357000,30.21,60404,1
2024-03-08 08:16,0.0024,94357000,113.22,226343,1
2024-03-08 08:17,0.05,94302000,2357.55,-4717458,0
2024-03-08 08:17,0.00106041,94298000,49.99,99944,1
2024-03-08 08:32,0.00026203,94345000,12.36,24708,1
2024-03-08 08:32,0.00204745,94345000,96.58,193070,1
2024-03-08 08:32,9.248e-05,94345000,4.36,8720,1
2024-03-08 08:51,6.375e-05,94115000,2.99,5996,1
2024-03-08 08:51,0.00053126,94115000,24.99,49974,1
2024-03-08 09:16,0.04290885,94093000,2018.71,4035403,1
2024-03-08 09:16,0.00099618,94093000,46.86,93686,1
2024-03-08 09:16,0.00609497,94093000,286.74,573207,1
2024-03-08 09:18,0.05,94003000,2350.07,-4702500,0
2024-03-08 09:21,0.0107,94044000,503.13,-1006774,0
2024-03-08 09:33,0.05,94099000,2352.47,4702597,1
2024-03-08 09:47,0.045,94210000,2119.72,4237330,1
2024-03-08 09:47,0.00512131,94228000,241.28,482329,1
2024-03-08 09:48,0.05,94230000,2355.75,-4713856,0
2024-03-08 09:48,0.05,94229000,2355.72,-4713806,0
2024-03-08 10:01,0.05,94511000,2362.77,4723187,1
2024-03-08 10:03,0.05,94374000,2359.35,-4721060,0
2024-03-08 10:11,0.1,94439000,4721.95,9439178,1
2024-03-08 10:18,0.0229,94495000,1081.96,2162853,1
2024-03-08 10:18,0.0074,94367000,349.15,-698665,0
2024-03-08 10:18,0.01546757,94368000,729.82,-1460374,0
2024-03-08 10:27,0.05,94303000,2357.57,-4717508,0
2024-03-08 10:28,0.00819227,94374000,386.56,772750,1
2024-03-08 10:28,0.04180773,94374000,1972.78,3943589,1
2024-03-08 10:54,0.02261087,94344000,1066.59,-2134267,0
2024-03-08 11:33,0.05,94386000,2359.65,-4721660,0
2024-03-08 11:53,0.00508257,94489000,240.12,480006,1
2024-03-08 11:53,0.00206916,94489000,97.75,195415,1
2024-03-08 11:58,0.00386693,94564000,182.83,365489,1
2024-03-08 11:58,0.00010574,94564000,4.99,9994,1
2024-03-08 11:58,0.00621304,94564000,293.76,587236,1
2024-03-08 12:06,0.03381186,94518000,1597.91,-3197428,0
2024-03-08 12:23,0.02443017,94848000,1158.57,2315994,1
2024-03-08 12:23,0.00527211,94848000,250.02,499799,1
2024-03-08 12:23,0.00922787,94848000,437.62,874807,1
2024-03-08 12:23,0.00948846,94848000,449.98,899511,1
2024-03-08 12:23,0.00158139,94848000,74.99,149916,1
2024-03-08 12:24,0.0355154,94839000,1684.12,3366560,1
2024-03-08 12:25,0.0034846,94839000,165.23,330310,1
2024-03-08 12:40,0.03484821,94630000,1648.84,-3299335,0
2024-03-08 12:47,0.02,94630000,946.3,-1893547,0
2024-03-08 12:51,0.00515838,94794000,244.49,488738,1
2024-03-08 12:51,0.00105491,94794000,49.99,99949,1
2024-03-08 13:35,0.01365855,94598000,646.03,-1292718,0
2024-03-08 13:55,0.00111039,94495000,52.46,104873,1
2024-03-08 13:55,0.00211642,94495000,99.99,199891,1
2024-03-08 14:19,0.02083966,94304000,982.63,-1966246,0
2024-03-08 14:19,0.02006034,94304000,945.88,-1892717,0
2024-03-08 15:02,0.01058244,94449000,499.75,999001,1
