book-delta-v1-0.2-5-1,book-imbalance-0.2-5-1,mid_price,timestamp
0,0,8411300,00:00.0
-2,-1615.5485,8411800,00:01.0
-1.73413704,-1672.307851,8411800,00:02.0
-0.779198,-1672.307851,8411800,00:03.0
-1.236258725,-1672.307851,8411800,00:04.0
-1.529350517,-1912.36767,8411800,00:05.0
-1.521149281,-1960.393699,8411800,00:06.0
-0.683496431,-1960.393699,8411800,00:07.0
-0.307114743,-1960.393699,8411800,00:08.0
-0.137995549,-1960.393699,8411800,00:09.0
-3.430202413,-3031.234322,8410200,00:10.0
-0.498689509,-2730.800133,8409400,00:11.0
0.645805684,-2430.125835,8409400,00:12.0
0.290179199,-2430.125835,8409400,00:13.0
0.130385919,-2430.125835,8409400,00:14.0
1.001811599,-1974.438404,8409400,00:15.0
1.280912469,-1974.438404,8409400,00:16.0
-0.458566609,-1974.438404,8409400,00:17.0
0.746795373,-1922.269924,8409400,00:18.0
0.335556791,-1922.269924,8409400,00:19.0
0.150775385,-1922.269924,8409400,00:20.0
0.067747748,-1922.269924,8409400,00:21.0
0.030441025,-1922.269924,8409400,00:22.0
0.013678034,-1922.269924,8409400,00:23.0
0.006145937,-1922.269924,8409400,00:24.0
0.002761548,-1922.269924,8409400,00:25.0
0.001240843,-1922.269924,8409400,00:26.0
1.000059819,-1668.712054,8409400,00:27.0
0.449355843,-1668.712054,8409400,00:28.0
-0.842973744,-298.2402916,8405800,00:29.0
0.635935913,2064.558667,8405800,00:30.0
0.208497719,-2.490275323,8407800,00:31.0
-0.766337008,207.5665749,8409000,00:32.0
-1.312127022,-19.23987731,8408600,00:33.0
-0.589576675,-19.23987731,8408600,00:34.0
-0.264913877,-19.23987731,8408600,00:35.0
-0.119033478,-19.23987731,8408600,00:36.0
-2.015375217,-446.3071455,8408400,00:37.0
0.137168186,-444.1890574,8408400,00:38.0
0.061633639,-444.1890574,8408400,00:39.0
0.027693779,-444.1890574,8408400,00:40.0
-0.997002931,-447.4768114,8408400,00:41.0
-0.447982294,-447.4768114,8408400,00:42.0
-0.20129142,-447.4768114,8408400,00:43.0
-1.087464383,-529.7928963,8408400,00:44.0
-0.488629245,-529.7928963,8408400,00:45.0
-0.219555272,-529.7928963,8408400,00:46.0
-0.098652543,-529.7928963,8408400,00:47.0
-1.041480619,-529.7928963,8408400,00:48.0
-1.455030003,-870.9113345,8408400,00:49.0
0.389151661,-674.3749699,8408400,00:50.0
0.174857113,-674.3749699,8408400,00:51.0
1.008118028,-288.506102,8408600,00:52.0
0.452976629,-288.506102,8408600,00:53.0
0.20353552,-288.506102,8408600,00:54.0
0.091454404,-288.506102,8408600,00:55.0
0.041093113,-288.506102,8408600,00:56.0
1.004963479,-251.2529959,8409000,00:57.0
1.286446618,-57.27150233,8407400,00:58.0
0.578037726,-57.27150233,8407400,00:59.0
0.259729093,-57.27150233,8407400,01:00.0
0.116703804,-57.27150233,8407400,01:01.0
-0.970087817,-150.8683447,8406700,01:02.0
-0.398404656,-1232.715624,8406700,01:03.0
-0.179014751,-1232.715624,8406700,01:04.0
-1.084412679,-1389.142793,8406000,01:05.0
0.544483916,-1389.142793,8406000,01:06.0
1.273525968,-1648.880684,8406800,01:07.0
0.572232104,-1648.880684,8406800,01:08.0
0.257120459,-1648.880684,8406800,01:09.0
0.115531669,-1648.880684,8406800,01:10.0
0.051911725,-1648.880684,8406800,01:11.0
-0.984802929,-1750.068657,8406800,01:12.0
0.596276303,-263.6208497,8403400,01:13.0
2.032453267,-202.1078647,8403400,01:14.0
0.778674185,-681.4814206,8404500,01:15.0
1.927457509,-973.250337,8405600,01:16.0
-1.718327849,-1795.63815,8403900,01:17.0
-1.505740032,-2985.63336,8403900,01:18.0
-0.676572609,-2985.63336,8403900,01:19.0
-0.304003669,-2985.63336,8403900,01:20.0
0.840978021,-2754.320165,8405100,01:21.0
-2.220227608,-2754.320165,8405100,01:22.0
-0.997612571,-2754.320165,8405100,01:23.0
-1.492660232,-2759.347962,8405100,01:24.0
-0.670695476,-2759.347962,8405100,01:25.0
-1.151725501,-1127.589718,8401500,01:26.0
-1.347020841,-1280.655715,8401500,01:27.0
0.425778244,-716.8702687,8402100,01:28.0
-0.760338442,-722.295362,8402100,01:29.0
-1.332212881,-507.1640833,8403600,01:30.0
0.408501058,1066.380351,8401100,01:31.0
-0.825987285,1075.685127,8400300,01:32.0
-0.371140011,1075.685127,8400300,01:33.0
-0.876748703,1079.199436,8400300,01:34.0
-1.225653372,882.4893778,8398800,01:35.0
-0.55072156,882.4893778,8398800,01:36.0
-0.247455148,882.4893778,8398800,01:37.0
0.898514645,369.61963,8397300,01:38.0
-0.627611619,-26.45854335,8396700,01:39.0
-1.149834413,-29.25343099,8396700,01:40.0
-1.336835013,-180.0069462,8396200,01:41.0
-1.598612006,78.99341108,8397700,01:42.0
-0.718302677,78.99341108,8397700,01:43.0
0.71187977,80.35922479,8397700,01:44.0
0.195772261,-733.4607211,8398700,01:45.0
0.087966147,-733.4607211,8398700,01:46.0
0.039525738,-733.4607211,8398700,01:47.0
0.017760059,-733.4607211,8398700,01:48.0
2.402543118,-732.7047806,8398700,01:49.0
1.810458815,235.0220073,8398700,01:50.0
0.813491584,235.0220073,8398700,01:51.0
0.365525331,235.0220073,8398700,01:52.0
0.164241118,235.0220073,8398700,01:53.0
-0.966555268,-1682.007402,8401600,01:54.0
-0.434301278,-1682.007402,8401600,01:55.0
0.849743379,-1680.604359,8401600,01:56.0
0.381814312,-1680.604359,8401600,01:57.0
0.101737957,-696.9093004,8399600,01:58.0
0.045713811,-696.9093004,8399600,01:59.0
0.805221875,-622.5294523,8399600,02:00.0
-0.656725935,-871.0021347,8399600,02:01.0
-0.295085984,-871.0021347,8399600,02:02.0
-0.13259068,-871.0021347,8399600,02:03.0
0.932488977,-693.8635371,8401000,02:04.0
1.257260554,-676.4600754,8401000,02:05.0
-0.466517375,-404.7302588,8399400,02:06.0
0.74389908,-368.0532,8398500,02:07.0
-0.640560943,-401.5079461,8399200,02:08.0
-0.287822585,-401.5079461,8399200,02:09.0
-0.129327024,-401.5079461,8399200,02:10.0
-0.058110378,-401.5079461,8399200,02:11.0
-0.026110676,-401.5079461,8399200,02:12.0
0.993161392,-388.6715194,8399100,02:13.0
0.44625618,-388.6715194,8399100,02:14.0
0.200515827,-388.6715194,8399100,02:15.0
1.039295745,-269.8152216,8399100,02:16.0
0.46698568,-269.8152216,8399100,02:17.0
0.209830192,-269.8152216,8399100,02:18.0
-0.938133717,-437.2961189,8399400,02:19.0
-1.421530547,-439.1344284,8399400,02:20.0
0.404325971,-437.2961189,8399400,02:21.0
0.18167537,-437.2961189,8399400,02:22.0
0.081632006,-437.2961189,8399400,02:23.0
0.036679625,-437.2961189,8399400,02:24.0
0.016481218,-437.2961189,8399400,02:25.1
0.007405488,-437.2961189,8399400,02:26.0
1.004497766,-384.9061366,8399400,02:27.0
0.451349941,-384.9061366,8399400,02:28.0
0.202804601,-384.9061366,8399400,02:29.0
0.091125981,-384.9061366,8399400,02:30.0
0.040945543,-384.9061366,8399400,02:31.0
0.018398018,-384.9061366,8399400,02:32.0
1.002021761,-296.14483,8399600,02:33.1
0.4502374,-296.14483,8399600,02:34.0
0.202304704,-296.14483,8399600,02:35.1
0.090901363,-296.14483,8399600,02:36.1
0.040844615,-296.14483,8399600,02:37.1
-0.991908225,-346.2349142,8399600,02:38.1
-0.445693095,-346.2349142,8399600,02:39.1
-0.200262817,-346.2349142,8399600,02:40.1
-0.089983884,-346.2349142,8399600,02:41.1
-0.040432365,-346.2349142,8399600,02:42.1
-0.018167433,-346.2349142,8399600,02:43.1
-0.008163154,-346.2349142,8399600,02:44.1
-0.003667941,-346.2349142,8399600,02:45.1
-0.001648112,-346.2349142,8399600,02:46.1
-0.000740545,-346.2349142,8399600,02:47.1
-0.000332748,-346.2349142,8399600,02:48.1
-0.000149513,-346.2349142,8399600,02:49.1
-6.72E-05,-346.2349142,8399600,02:50.1
-3.02E-05,-346.2349142,8399600,02:51.1
-1.000013564,-1484.223907,8399600,02:52.1
-0.449335059,-1484.223907,8399600,02:53.1
-0.201899256,-1484.223907,8399600,02:54.1
-0.090719184,-1484.223907,8399600,02:55.1
0.978126768,-1466.120434,8399600,02:56.1
0.439500687,-1466.120434,8399600,02:57.1
0.197480389,-1466.120434,8399600,02:58.1
1.088733708,-1325.79255,8399600,02:59.1
-0.553861231,-1456.861253,8399700,03:00.1
0.738457927,-844.4117495,8400900,03:01.1
0.331810536,-844.4117495,8400900,03:02.1
0.149092084,-844.4117495,8400900,03:03.1
0.066991392,-844.4117495,8400900,03:04.1
-1.73276181,-1456.861253,8399700,03:05.1
-0.778580069,-1456.861253,8399700,03:06.1
-0.349838576,-1456.861253,8399700,03:07.1
0.843490132,-1353.912468,8400300,03:08.1
0.417712582,-430.5426845,8398800,03:09.1
0.187690362,-430.5426845,8398800,03:10.1
0.084334716,-430.5426845,8398800,03:11.1
-0.941888883,-182.7839769,8400300,03:12.1
-0.423217956,-182.7839769,8400300,03:13.1
-0.190164086,-182.7839769,8400300,03:14.1
0.943729116,-176.8126669,8400300,03:15.1
0.424044826,-176.8126669,8400300,03:16.1
0.190535622,-176.8126669,8400300,03:17.1
0.085613174,-176.8126669,8400300,03:18.1
1.038331148,447.2377856,8398400,03:19.1
0.466552259,447.2377856,8398400,03:20.1
-0.835252179,206.911343,8397800,03:21.1
-0.375302997,206.911343,8397800,03:22.1
-0.168634507,206.911343,8397800,03:23.1
-0.075772368,206.911343,8397800,03:24.1
-0.03404672,206.911343,8397800,03:25.1
