timestamp,quantity,price,fee,amount,side
2018-07-03 12:38:21,500.0,10100,0,-5050000,0
2018-07-03 12:45:24,500.0,10230,0,5115000,1
2018-07-03 12:47:15,1.0,10200,0,-10200,0
2018-07-03 12:47:15,206.48225294,10200,0,-2106119,0
2018-07-03 12:47:15,139.5951,10200,0,-1423870,0
2018-07-03 12:47:15,86.86864705,10200,0,-886060,0
2018-07-03 12:47:15,15.054,10200,0,-153551,0
2018-07-03 12:47:15,50.0,10200,0,-510000,0
2018-07-03 12:47:15,1.0,10200,0,-10200,0
2018-07-03 12:49:07,500.0,10230,0,5115000,1
2018-07-03 12:59:44,500.0,10100,0,-5050000,0
2018-07-03 12:59:50,52.6176,10080,0,530385,1
2018-07-03 12:59:50,232.5292,10080,0,2343894,1
2018-07-03 12:59:50,214.8532,10080,0,2165720,1
2018-07-03 13:00:04,426.4955,10100,0,-4307605,0
2018-07-03 13:00:04,20.4131,10100,0,-206172,0
2018-07-03 13:00:27,1.0029,10090,0,10119,1
2018-07-03 13:00:27,8.322,10090,0,83969,1
2018-07-03 13:00:39,167.9991,10080,0,1693431,1
2018-07-03 13:00:39,116.65,10080,0,1175832,1
2018-07-03 13:00:39,78.0,10080,0,786240,1
2018-07-03 13:00:39,74.9346,10080,0,755341,1
2018-07-03 13:11:58,500.0,10110,0,-5055000,0
2018-07-03 13:12:43,500.0,10080,0,5040000,1
2018-07-03 13:21:07,500.0,10120,0,-5060000,0
2018-07-03 13:25:34,250.0,10110,0,2527500,1
2018-07-03 13:37:13,4.2655,10170,0,43380,1
2018-07-03 13:40:29,245.7345,10160,0,2496663,1
2018-07-03 13:41:38,500.0,10100,0,-5050000,0
2018-07-03 13:42:49,377.0717,10090,0,3804653,1
2018-07-03 13:42:49,22.9283,10090,0,231347,1
2018-07-03 13:42:49,100.0,10090,0,1009000,1
2018-07-03 13:44:04,500.0,10110,0,-5055000,0
2018-07-03 13:46:12,500.0,10090,0,5045000,1
2018-07-03 14:06:18,500.0,10040,0,-5020000,0
2018-07-03 14:23:37,500.0,10110,0,5055000,1
2018-07-03 14:42:41,110.0,10080,0,-1108800,0
2018-07-03 14:43:57,2.1288,10090,0,21480,1
2018-07-03 14:50:22,107.8712,10070,0,1086263,1
2018-07-03 15:58:48,20.6414,9990,0,-206208,0
2018-07-03 15:58:48,135.9386,9990,0,-1358027,0
2018-07-03 16:03:04,25.7504,10030,0,-258277,0
2018-07-03 16:07:41,92.5134,10010,0,926059,1
2018-07-03 16:07:41,89.817,10010,0,899068,1
2018-07-03 16:13:12,269.6898,10050,0,-2710382,0
2018-07-03 16:13:13,230.3102,10050,0,-2314618,0
2018-07-03 16:22:54,500.0,10020,0,5010000,1
2018-07-03 16:35:31,96.1883,10020,0,-963807,0
2018-07-03 16:53:41,96.1883,10040,0,965731,1
2018-07-03 17:59:04,300.0,10020,0,-3006000,0
2018-07-03 18:27:29,300.0,9990,0,2997000,1
2018-07-03 19:10:58,482.9358,9830,0,-4747259,0
2018-07-03 19:11:34,482.9358,9850,0,4756918,1
2018-07-03 19:15:13,500.0,9710,0,-4855000,0
2018-07-03 19:15:16,3.0,9720,0,29160,1
2018-07-03 19:16:33,497.0,9750,0,4845750,1
2018-07-03 19:31:23,401.6698,9720,0,-3904230,0
2018-07-03 19:34:45,401.6698,9700,0,3896197,1
2018-07-03 19:38:33,500.0,9720,0,-4860000,0
2018-07-03 19:39:43,320.8021,9710,0,3114988,1
2018-07-03 19:39:44,122.104,9710,0,1185630,1
2018-07-03 19:39:44,57.0939,9710,0,554382,1
2018-07-03 19:58:32,500.0,9780,0,-4890000,0
2018-07-03 20:10:28,75.2744,9760,0,734678,1
2018-07-03 20:10:29,424.7256,9760,0,4145322,1
2018-07-03 20:28:09,104.2891,9800,0,-1022033,0
2018-07-03 20:28:38,395.7109,9830,0,-3889838,0
2018-07-03 20:29:12,500.0,9850,0,4925000,1
2018-07-03 22:01:17,498.5016,9810,0,-4890301,0
2018-07-03 22:01:17,1.4984,9810,0,-14699,0
2018-07-03 22:06:06,412.7737,9780,0,4036927,1
2018-07-03 22:06:06,87.2263,9780,0,853073,1
2018-07-03 22:44:44,89.6808,9610,0,-861832,0
2018-07-03 22:44:46,301.4466,9610,0,-2896902,0
2018-07-03 22:45:06,391.1274,9630,0,3766557,1
2018-07-03 22:46:07,500.0,9620,0,-4810000,0
2018-07-03 22:48:37,500.0,9680,0,4840000,1
2018-07-03 22:59:49,10.28519017,9670,0,-99458,0
2018-07-03 22:59:50,96.48730982,9670,0,-933032,0
2018-07-03 23:02:05,0.0005,9670,0,4,1
2018-07-03 23:02:06,2.5005,9670,0,24180,1
2018-07-03 23:05:04,104.2715,9650,0,1006220,1
2018-07-03 23:07:05,500.0,9660,0,-4830000,0
2018-07-03 23:16:30,34.1173,9630,0,328550,1
2018-07-03 23:16:30,198.25413319,9630,0,1909187,1
2018-07-03 23:16:30,267.6285668,9630,0,2577263,1
2018-07-03 23:22:11,1.6755,9590,0,-16068,0
2018-07-03 23:26:09,1.6755,9590,0,16068,1
2018-07-03 23:27:39,106.00760676,9610,0,-1018733,0
2018-07-03 23:27:39,84.0686,9610,0,-807899,0
2018-07-03 23:27:40,59.9796,9610,0,-576404,0
2018-07-03 23:27:40,37.8448,9610,0,-363689,0
2018-07-03 23:27:40,50.0,9610,0,-480500,0
2018-07-03 23:27:40,162.09939323,9610,0,-1557775,0
2018-07-04 00:14:52,114.8775,9630,0,1106270,1
2018-07-04 00:14:53,250.0,9630,0,2407500,1
2018-07-04 00:22:52,70.7714,9610,0,680113,1
2018-07-04 00:22:52,1.1159,9610,0,10724,1
2018-07-04 00:22:52,63.2352,9610,0,607690,1
2018-07-04 01:00:36,496.1337,9640,0,-4782729,0
2018-07-04 01:05:47,496.1337,9640,0,4782729,1
2018-07-04 01:29:22,200.0,9780,0,-1956000,0
2018-07-04 01:29:26,264.0,9780,0,-2581920,0
2018-07-04 01:31:21,20.5206,9770,0,200486,1
2018-07-04 01:31:21,104.6369,9770,0,1022303,1
2018-07-04 01:31:24,0.8171,9770,0,7983,1
2018-07-04 02:02:32,0.00085385,9730,0,8,1
2018-07-04 02:06:08,338.0246,9690,0,3275458,1
2018-07-04 02:08:56,11.3174,9710,0,-109892,0
2018-07-04 02:09:47,11.3174,9700,0,109779,1
2018-07-04 02:59:46,500.0,9770,0,-4885000,0
2018-07-04 03:20:39,500.0,9740,0,4870000,1
2018-07-04 03:53:01,183.9759,9770,0,-1797445,0
2018-07-04 03:57:00,183.9759,9790,0,1801124,1
2018-07-04 04:25:28,4.9456,9680,0,-47873,0
2018-07-04 04:29:57,122.317,9660,0,-1181582,0
2018-07-04 04:32:06,372.7374,9670,0,-3604371,0
2018-07-04 04:42:57,500.0,9810,0,4905000,1
2018-07-04 04:48:04,195.62525482,9850,0,-1926909,0
2018-07-04 04:48:04,300.0,9850,0,-2955000,0
2018-07-04 04:48:04,4.37474517,9850,0,-43091,0
2018-07-04 04:50:08,500.0,9870,0,4935000,1
2018-07-04 05:00:44,122.317,9810,0,-1199930,0
2018-07-04 05:02:36,66.0869,9820,0,648973,1
2018-07-04 05:02:42,24.6917,9800,0,241979,1
2018-07-04 05:02:42,31.5384,9800,0,309076,1
2018-07-04 05:10:56,8.8,9850,0,-86680,0
2018-07-04 05:11:00,6.0265,9840,0,-59301,0
2018-07-04 05:11:10,14.8265,9850,0,146041,1
2018-07-04 05:53:58,471.9415,9880,0,-4662782,0
2018-07-04 05:54:53,4.6434,9900,0,45970,1
2018-07-04 06:14:31,99.85,9810,0,979529,1
2018-07-04 06:14:31,20.2331,9810,0,198487,1
2018-07-04 06:36:43,347.215,9830,0,3413123,1
2018-07-04 06:40:37,27.8178,9830,0,-273449,0
2018-07-04 06:47:34,24.7806,9820,0,243345,1
2018-07-04 06:57:54,3.0371,9840,0,29885,1
2018-07-04 07:30:10,202.1825,9760,0,-1973301,0
2018-07-04 07:32:30,242.1017,9780,0,-2367755,0
2018-07-04 07:39:38,188.9021,9730,0,1838017,1
2018-07-04 07:39:48,255.3821,9750,0,2489975,1
2018-07-04 08:00:33,414.4848,9670,0,-4008068,0
2018-07-04 08:00:34,0.168,9670,0,-1625,0
2018-07-04 08:00:34,0.73,9670,0,-7059,0
2018-07-04 08:00:34,5.51,9670,0,-53282,0
2018-07-04 08:02:48,25.51,9640,0,245916,1
2018-07-04 08:02:48,101.4614,9640,0,978088,1
2018-07-04 08:02:48,10.0,9640,0,96400,1
2018-07-04 08:02:48,100.0,9640,0,964000,1
2018-07-04 08:02:48,2.0,9640,0,19280,1
2018-07-04 08:02:49,120.5425,9640,0,1162030,1
2018-07-04 08:02:49,0.1,9640,0,964,1
2018-07-04 08:02:49,50.0,9640,0,482000,1
2018-07-04 08:02:49,4.3205,9640,0,41650,1
2018-07-04 08:02:49,6.9584,9640,0,67079,1
2018-07-04 08:03:04,29.1771,9630,0,-280975,0
2018-07-04 08:07:35,29.1771,9620,0,280684,1
2018-07-04 08:09:07,52.8089,9620,0,-508022,0
2018-07-04 08:20:33,10.0,9640,0,96400,1
2018-07-04 08:20:33,42.8089,9640,0,412678,1
2018-07-04 09:01:15,29.3077,9720,0,-284871,0
2018-07-04 09:07:28,29.3077,9700,0,284285,1
2018-07-04 09:41:06,63.59191267,9470,0,-602215,0
2018-07-04 09:41:06,8.732e-05,9470,0,-1,0
2018-07-04 09:41:16,0.0005,9470,0,5,1
2018-07-04 09:42:47,0.1,9430,0,943,1
2018-07-04 09:42:48,63.4915,9430,0,598725,1
2018-07-04 10:03:14,404.681,9320,0,-3771627,0
2018-07-04 10:04:12,123.208,9300,0,1145834,1
2018-07-04 10:04:12,117.0189,9300,0,1088276,1
2018-07-04 10:04:12,164.4541,9300,0,1529423,1
2018-07-04 10:05:42,104.8122,9250,0,-969513,0
2018-07-04 10:05:42,25.7467,9250,0,-238157,0
2018-07-04 10:05:50,100.0,9230,0,-923000,0
2018-07-04 10:10:03,230.5589,9280,0,2139587,1
2018-07-04 10:21:43,500.0,9300,0,-4650000,0
2018-07-04 10:22:39,1.0,9320,0,9320,1
2018-07-04 10:37:21,0.02,9470,0,189,1
2018-07-04 10:37:44,54.7835,9420,0,516061,1
2018-07-04 10:37:44,42.1955,9420,0,397482,1
2018-07-04 10:37:44,100.0,9420,0,942000,1
2018-07-04 10:37:45,302.001,9420,0,2844849,1
2018-07-04 11:16:51,106.6633,9490,0,-1012235,0
2018-07-04 11:36:53,1.0,9440,0,9440,1
2018-07-04 11:36:53,50.0,9440,0,472000,1
2018-07-04 11:36:53,11.4695,9440,0,108272,1
2018-07-04 11:36:53,5.0,9440,0,47200,1
2018-07-04 11:36:53,0.1,9440,0,944,1
2018-07-04 11:37:25,39.0938,9430,0,368655,1
2018-07-04 12:58:26,500.0,9520,0,-4760000,0
2018-07-04 13:12:20,195.3546,9570,0,1869544,1
2018-07-04 13:22:33,304.6454,9490,0,2891085,1
2018-07-04 15:18:37,474.4884,9550,0,-4531364,0
2018-07-04 15:20:00,5.9036,9550,0,56379,1
2018-07-04 15:30:30,61.3664,9570,0,587276,1
2018-07-04 15:30:30,48.437,9570,0,463542,1
2018-07-04 15:30:30,25.7227,9570,0,246166,1
2018-07-04 15:30:30,31.4195,9570,0,300685,1
2018-07-04 15:30:31,60.7884,9570,0,581745,1
2018-07-04 15:38:41,40.5689,9540,0,387027,1
2018-07-04 15:47:25,200.2819,9520,0,1906684,1
2018-07-04 15:47:33,3.1591,9510,0,-30043,0
2018-07-04 16:03:33,0.1,9490,0,949,1
2018-07-04 16:03:33,3.0591,9490,0,29031,1
2018-07-04 16:44:08,178.0551,9510,0,-1693304,0
2018-07-04 16:48:24,5.759e-05,9550,0,1,1
2018-07-04 16:52:27,110.0,9530,0,-1048300,0
2018-07-04 17:05:30,272.4988,9550,0,2602364,1
2018-07-04 17:08:22,484.4437,9610,0,-4655504,0
2018-07-04 17:13:22,500.0,9630,0,4815000,1
2018-07-04 17:19:30,500.0,9710,0,-4855000,0
2018-07-04 17:21:55,367.53772892,9680,0,3557765,1
2018-07-04 17:24:37,367.5376,9700,0,-3565115,0
2018-07-04 17:26:42,49.7804,9690,0,482372,1
2018-07-04 17:28:42,20.0,9640,0,192800,1
2018-07-04 17:28:42,61.4983,9640,0,592844,1
2018-07-04 17:28:42,300.0,9640,0,2892000,1
2018-07-04 17:28:42,11.8373,9640,0,114112,1
2018-07-04 17:28:42,56.8839,9640,0,548361,1
2018-07-04 18:09:29,8.9739,9580,0,-85970,0
2018-07-04 18:51:36,491.0261,9650,0,-4738402,0
2018-07-04 19:09:26,13.2202,9650,0,127575,1
2018-07-04 19:09:26,9.9151,9650,0,95681,1
2018-07-04 19:09:26,7.4363,9650,0,71760,1
2018-07-04 19:09:26,76.0251,9650,0,733642,1
2018-07-04 19:09:26,31.6808,9650,0,305720,1
2018-07-04 19:09:26,6.5285,9650,0,63000,1
2018-07-04 19:09:27,26.9387,9650,0,259958,1
2018-07-04 19:09:27,97.1502,9650,0,937499,1
2018-07-04 19:09:28,231.1051,9650,0,2230164,1
2018-07-04 21:01:03,500.0,9700,0,-4850000,0
2018-07-04 21:10:31,344.61,9750,0,3359948,1
2018-07-04 21:15:00,155.39,9790,0,1521268,1
2018-07-04 21:56:13,23.9845,9800,0,-235048,0
2018-07-04 21:56:16,23.9845,9810,0,235288,1
2018-07-04 22:10:56,23.6313,9850,0,-232768,0
2018-07-04 22:10:56,279.27488832,9850,0,-2750858,0
2018-07-04 22:10:56,30.0,9850,0,-295500,0
2018-07-04 22:10:57,167.09381167,9850,0,-1645874,0
2018-07-04 22:12:04,229.35118309,9940,0,2279751,1
2018-07-04 22:12:07,229.3512,9930,0,-2277457,0
2018-07-04 22:14:19,300.0,10060,0,3018000,1
2018-07-04 22:14:19,47.8473161,10060,0,481344,1
2018-07-04 22:15:20,306.96181076,10130,0,-3109523,0
2018-07-04 22:17:00,177.00378441,10130,0,1793048,1
2018-07-04 22:17:56,282.1107,10090,0,2846497,1
2018-07-04 22:19:32,64.44442167,10150,0,-654111,0
2018-07-04 22:19:33,435.55557832,10150,0,-4420889,0
2018-07-04 22:21:37,500.0,10130,0,5065000,1
2018-07-04 22:24:46,500.0,10050,0,-5025000,0
2018-07-04 22:26:07,103.9545,10120,0,1052020,1
2018-07-04 22:26:32,94.25100523,10130,0,954763,1
2018-07-04 22:28:44,301.7945,10100,0,3048124,1
2018-07-04 23:00:50,500.0,9980,0,-4990000,0
2018-07-04 23:06:15,36.9167,9990,0,368798,1
2018-07-04 23:06:15,260.803,9990,0,2605422,1
2018-07-04 23:06:15,202.2803,9990,0,2020780,1
2018-07-04 23:20:34,101.08596151,10040,0,-1014903,0
2018-07-04 23:20:34,398.91403848,10040,0,-4005097,0
2018-07-04 23:26:52,500.0,10000,0,5000000,1
2018-07-04 23:46:44,500.0,9930,0,-4965000,0
2018-07-04 23:58:38,500.0,9970,0,4985000,1
