timestamp,quantity,price,fee,amount,side
2018-08-08 00:00,0.00142702,8127000,5.79,11591,1
2018-08-08 00:00,0.00414619,8127000,16.84,33679,1
2018-08-08 00:11,0.00811074,8135000,32.99,65947,1
2018-08-08 00:23,0.00014960,8124000,0.60,1214,1
2018-08-08 00:31,0.01025927,8141000,41.76,83478,1
2018-08-08 00:31,0.50000000,8141000,2035.25,4068464,1
2018-08-08 00:35,0.11863217,8135000,482.53,964590,1
2018-08-08 00:46,0.01643915,8138000,66.89,133714,1
2018-08-08 00:49,0.04557239,8139000,185.45,370728,1
2018-08-08 01:03,0.07566690,8139000,307.92,615544,1
2018-08-08 01:12,1.74708206,8129000,7101.01,14194929,1
2018-08-08 01:15,0.00015066,8131000,0.61,1224,1
2018-08-08 01:18,0.80868395,8132000,3288.10,6572929,1
2018-08-08 01:24,0.13590764,8143000,553.34,1106142,1
2018-08-08 01:49,0.02550000,8147000,103.87,207644,1
2018-08-08 02:05,0.00000302,8143000,0.01,-25,0
2018-08-08 02:07,0.00992049,8146000,40.40,-80853,0
2018-08-08 02:10,0.00210000,8146000,8.55,-17116,0
2018-08-08 02:11,0.00003687,8143000,0.15,-301,0
2018-08-08 02:11,0.00316313,8143000,12.87,-25771,0
2018-08-08 02:12,0.00000319,8141000,0.01,-26,0
2018-08-08 02:12,0.00149681,8141000,6.09,-12192,0
2018-08-08 02:12,0.00100000,8141000,4.07,-8145,0
2018-08-08 02:12,0.00150000,8141000,6.10,-12218,0
2018-08-08 02:18,0.00450000,8121000,18.27,-36563,0
2018-08-08 02:18,0.21440000,8121000,870.57,-1742013,0
2018-08-08 02:18,0.01470000,8121000,59.68,-119439,0
2018-08-08 02:19,0.00550000,8118000,22.32,-44672,0
2018-08-08 02:20,0.48400000,8120000,1965.04,-3932045,0
2018-08-08 02:21,0.00001553,8120000,0.06,-127,0
2018-08-08 02:21,0.01068447,8120000,43.37,-86802,0
2018-08-08 02:21,0.00002591,8120000,0.10,-211,0
2018-08-08 02:21,0.00417409,8120000,16.94,-33911,0
2018-08-08 02:21,0.01290000,8115000,52.34,-104736,0
2018-08-08 02:21,0.04260000,8115000,172.84,-345872,0
2018-08-08 02:21,0.00000598,8115000,0.02,-49,0
2018-08-08 02:21,0.36399402,8115000,1476.90,-2955289,0
2018-08-08 02:28,0.05370615,8146000,218.74,437271,1
2018-08-08 02:38,0.95455633,8137000,3883.61,7763341,1
2018-08-08 02:53,0.00250000,8125000,10.15,-20323,0
2018-08-08 03:04,0.00720000,8115000,29.21,-58458,0
2018-08-08 03:05,0.00004547,8115000,0.18,-370,0
2018-08-08 03:05,0.06995453,8115000,283.84,-567965,0
2018-08-08 03:15,0.03620000,8115000,146.88,-293910,0
2018-08-08 03:17,0.28560000,8109000,1157.96,-2317089,0
2018-08-08 03:53,0.00451367,8123000,18.33,36646,1
2018-08-08 03:53,0.00218833,8123000,8.88,17766,1
2018-08-08 04:38,0.00610000,8110000,24.73,-49496,0
2018-08-08 04:39,0.23092662,8106000,935.94,-1872828,0
2018-08-08 04:41,0.39000000,8105000,1580.47,-3162531,0
2018-08-08 04:41,0.00000212,8105000,0,-18,0
2018-08-08 04:41,0.08149788,8105000,330.27,-660871,0
2018-08-08 04:41,1.46380000,8105000,5932.04,-11870031,0
2018-08-08 04:46,0.00100526,8111000,4.07,8149,1
2018-08-08 05:01,0.04423416,8069000,178.46,356746,1
2018-08-08 05:01,0.00062000,8069000,2.50,5000,1
2018-08-08 05:01,0.00084000,8069000,3.38,6774,1
2018-08-08 05:01,0.00062000,8069000,2.50,5000,1
2018-08-08 05:01,0.00062000,8069000,2.50,5000,1
2018-08-08 05:01,0.00062000,8069000,2.50,5000,1
2018-08-08 05:01,0.00615319,8069000,24.82,49625,1
2018-08-08 05:01,0.00062000,8069000,2.50,5000,1
2018-08-08 05:01,0.00062000,8069000,2.50,5000,1
2018-08-08 05:01,0.00062000,8069000,2.50,5000,1
2018-08-08 05:01,0.00062000,8069000,2.50,5000,1
2018-08-08 05:03,0.00577501,8053000,23.25,46482,1
2018-08-08 05:04,0.22624053,8046000,910.16,1819421,1
2018-08-08 05:05,0.00862998,8028000,34.64,69246,1
2018-08-08 05:05,0.01104000,8028000,44.31,88584,1
2018-08-08 05:05,0.00372000,8028000,14.93,29849,1
2018-08-08 05:05,0.01104000,8028000,44.31,88584,1
2018-08-08 05:05,0.00372000,8028000,14.93,29849,1
2018-08-08 05:05,0.02085000,8028000,83.69,167300,1
2018-08-08 05:05,0.01132578,8028000,45.46,90877,1
2018-08-08 05:05,0.74760000,8017000,2996.75,-5996506,0
2018-08-08 05:06,0.00304415,8027000,12.21,24423,1
2018-08-08 05:06,0.06359565,8027000,255.24,510227,1
2018-08-08 05:06,3.05700000,8010000,12243.28,24474326,1
2018-08-08 05:07,0.13329661,8001000,533.25,-1067040,0
2018-08-08 05:07,0.09360339,8001000,374.46,-749296,0
2018-08-08 05:08,0.24361206,8001000,974.57,-1950115,0
2018-08-08 05:09,0.47050000,8021000,1886.94,3771993,1
2018-08-08 05:12,0.00930000,7993000,37.16,-74372,0
2018-08-08 05:12,0.00592687,8007000,23.72,47432,1
2018-08-08 05:12,0.00337313,8007000,13.50,26995,1
2018-08-08 05:26,0.03350000,7964000,133.39,-266928,0
2018-08-08 05:26,0.03470000,7962000,138.14,-276420,0
2018-08-08 05:27,0.00000265,7973000,0.01,-22,0
2018-08-08 05:28,0.13000000,7973000,518.24,-1037009,0
2018-08-08 05:30,0.01947095,7970000,77.59,-155261,0
2018-08-08 05:30,0.00009539,7968000,0.38,-761,0
2018-08-08 05:30,0.00450461,7968000,17.94,-35911,0
2018-08-08 05:31,0.78261335,7966000,3117.14,-6237415,0
2018-08-08 05:33,1.79935068,7960000,7161.41,-14329993,0
2018-08-08 05:33,0.09282617,7960000,369.44,-739266,0
2018-08-08 05:37,0.01736265,7977000,69.25,138432,1
2018-08-08 05:42,0.10973337,7980000,437.83,875234,1
2018-08-08 05:56,0.22738549,7961000,905.10,1809310,1
2018-08-08 05:56,0.06185425,7961000,246.21,492175,1
2018-08-08 05:56,0.04720054,7961000,187.88,375575,1
2018-08-08 05:56,0.06137021,7961000,244.28,488323,1
2018-08-08 05:56,0.09091513,7961000,361.88,723413,1
2018-08-08 05:57,0.01731549,7952000,68.84,-137762,0
2018-08-08 05:58,0.24612278,7950000,978.33,-1957655,0
2018-08-08 06:03,0.00032126,7879000,1.26,2529,1
2018-08-08 06:03,0.48349322,7879000,1904.72,3807538,1
2018-08-08 06:03,0.16836807,7879000,663.28,1325908,1
2018-08-08 06:03,0.13007795,7879000,512.44,1024371,1
2018-08-08 06:03,0.02028493,7879000,79.91,159745,1
2018-08-08 06:03,0.04843931,7879000,190.82,381462,1
2018-08-08 06:03,0.22570000,7879000,889.14,1777401,1
2018-08-08 06:03,0.00380000,7879000,14.97,29925,1
2018-08-08 06:03,0.12196221,7879000,480.47,960459,1
2018-08-08 06:03,0.12148690,7879000,478.59,956716,1
2018-08-08 06:03,0.12148690,7879000,478.59,956716,1
2018-08-08 06:03,0.00625889,7879000,24.65,49289,1
2018-08-08 06:03,0.00391000,7868000,15.38,30748,1
2018-08-08 06:03,0.68270000,7868000,2685.74,5368797,1
2018-08-08 06:03,0.10183999,7868000,400.63,800876,1
2018-08-08 06:03,0.25140000,7868000,989.00,1977026,1
2018-08-08 06:03,0.05315001,7868000,209.09,417975,1
2018-08-08 06:03,0.24319315,7851000,954.65,-1910264,0
2018-08-08 06:03,0.03846019,7851000,150.97,-302102,0
2018-08-08 06:03,0.12554666,7851000,492.83,-986160,0
2018-08-08 06:04,0.00270000,7846000,10.59,-21195,0
2018-08-08 06:04,0.51784502,7835000,2028.65,-4059345,0
2018-08-08 06:04,0.15913507,7811000,621.50,-1243626,0
2018-08-08 06:04,0.09596493,7811000,374.79,-749957,0
2018-08-08 06:04,0.17437521,7811000,681.02,-1362726,0
2018-08-08 06:04,0.06667985,7811000,260.41,-521097,0
2018-08-08 06:04,0.01894494,7811000,73.98,-148053,0
2018-08-08 06:04,0.21085337,7818000,824.22,-1649276,0
2018-08-08 06:04,0.67050000,7818000,2620.98,-5244590,0
2018-08-08 06:05,0.01080000,7810000,42.17,-84391,0
2018-08-08 06:05,0.21940000,7810000,856.75,-1714371,0
2018-08-08 06:08,0.83573615,7839000,3275.66,6548060,1
2018-08-08 06:09,0.15320000,7824000,599.31,-1199237,0
2018-08-08 06:10,1.87190000,7840000,7337.84,14668358,1
2018-08-08 06:12,0.33710340,7800000,1314.70,-2630722,0
2018-08-08 06:12,0.30550464,7800000,1191.46,-2384128,0
2018-08-08 06:12,0.04236400,7800000,165.21,-330605,0
2018-08-08 06:13,0.21580000,7800000,841.62,-1684082,0
2018-08-08 06:14,0.00210000,7806000,8.19,-16401,0
2018-08-08 06:14,0.00061725,7797000,2.40,-4816,0
2018-08-08 06:14,0.00498275,7797000,19.42,-38870,0
2018-08-08 06:15,0.35346684,7793000,1377.28,-2755945,0
2018-08-08 06:15,0.49993316,7793000,1947.98,-3897928,0
2018-08-08 06:15,0.14358197,7797000,559.75,-1120069,0
2018-08-08 06:15,0.61781803,7797000,2408.56,-4819536,0
2018-08-08 06:15,0.12565352,7816000,491.05,981616,1
2018-08-08 06:16,0.00070000,7814000,2.73,5467,1
2018-08-08 06:16,1.57642918,7815000,6159.89,12313634,1
2018-08-08 06:16,0.82047082,7814000,3205.57,6407953,1
2018-08-08 06:18,0.01020000,7804000,39.80,-79641,0
2018-08-08 06:18,0.01020000,7797000,39.76,79489,1
2018-08-08 06:19,0.23610000,7795000,920.19,-1841320,0
2018-08-08 06:19,0.07610000,7788000,296.33,-592964,0
2018-08-08 06:20,0.00001419,7790000,0.05,-111,0
2018-08-08 06:20,0.13181945,7792000,513.56,1026623,1
2018-08-08 06:24,0.00006061,7800000,0.23,-473,0
2018-08-08 06:24,0.35710000,7800000,1392.69,-2786773,0
2018-08-08 06:25,0.01200000,7803000,46.81,-93683,0
2018-08-08 06:28,0.18391190,7828000,719.83,1438942,1
2018-08-08 06:28,0.06145858,7824000,240.42,480611,1
2018-08-08 06:28,0.00127811,7824000,4.99,9994,1
2018-08-08 06:29,0.08929499,7824000,349.32,698294,1
2018-08-08 06:30,0.00139296,7806000,5.43,10868,1
2018-08-08 06:30,0.00640532,7806000,24.99,49974,1
2018-08-08 06:30,0.06828952,7806000,266.53,532801,1
2018-08-08 06:30,0.03684533,7799000,143.67,287213,1
2018-08-08 06:30,0.00100000,7799000,3.89,7795,1
2018-08-08 06:30,0.00128221,7799000,4.99,9994,1
2018-08-08 06:30,0.00012834,7799000,0.50,1000,1
2018-08-08 06:30,0.07200000,7799000,280.76,561247,1
2018-08-08 06:30,0.00054829,7799000,2.13,4273,1
2018-08-08 06:31,0.02570000,7799000,100.21,200334,1
2018-08-08 06:34,0.10000000,7800000,390.00,-780390,0
2018-08-08 06:34,0.10000000,7800000,390.00,-780390,0
2018-08-08 06:34,0.05690000,7798000,221.85,-443928,0
2018-08-08 06:36,0.25690000,7813000,1003.57,2006156,1
2018-08-08 06:40,2.29846225,7801000,8965.15,-17939270,0
2018-08-08 06:40,0.00120000,7801000,4.68,-9366,0
2018-08-08 06:40,0.03293775,7801000,128.47,-257076,0
2018-08-08 06:41,1.16740000,7812000,4559.86,-9124289,0
2018-08-08 07:02,0.00130578,7811000,5.09,10194,1
2018-08-08 07:12,0.27927217,7803000,1089.58,2178071,1
2018-08-08 07:12,0.00056870,7803000,2.21,4435,1
2018-08-08 07:12,0.02901150,7803000,113.18,226263,1
2018-08-08 07:18,0.01300000,7770000,50.50,100959,1
2018-08-08 07:23,0.00304800,7792000,11.87,23738,1
2018-08-08 07:24,0.26048894,7792000,1014.86,2028714,1
2018-08-08 07:24,0.21020589,7791000,818.85,1636895,1
2018-08-08 07:25,0.03814862,7788000,148.55,296952,1
2018-08-08 07:27,0.87392943,7790000,3403.95,6804506,1
2018-08-08 07:27,0.00100000,7790000,3.89,7786,1
2018-08-08 07:27,0.00570837,7790000,22.23,44445,1
2018-08-08 07:29,1.71570000,7780000,6674.07,-13354820,0
2018-08-08 07:30,0.52717070,7789000,2053.06,4104079,1
2018-08-08 07:30,0.01570000,7789000,61.14,122226,1
2018-08-08 07:30,0.00393187,7789000,15.31,30610,1
2018-08-08 07:40,0.26540045,7827000,1038.64,2076250,1
2018-08-08 07:40,0.00070000,7827000,2.73,5476,1
2018-08-08 07:43,0.08427256,7832000,330.01,659692,1
2018-08-08 07:43,0.00337303,7832000,13.20,26404,1
2018-08-08 07:43,0.01541832,7832000,60.37,120695,1
2018-08-08 07:47,0.00107372,7826000,4.20,8398,1
2018-08-08 07:47,0.00086904,7826000,3.40,6797,1
2018-08-08 07:47,0.37506011,7826000,1467.61,2933752,1
2018-08-08 07:47,0.00063000,7826000,2.46,4927,1
2018-08-08 07:49,0.06354456,7818000,248.39,-497040,0
2018-08-08 07:49,1.23005544,7818000,4808.28,-9621382,0
2018-08-08 07:51,0.03116192,7815000,121.76,243408,1
2018-08-08 07:51,0.03836362,7815000,149.90,299661,1
2018-08-08 08:03,0.67393274,7790000,2624.96,5247311,1
2018-08-08 08:04,0.00719270,7793000,28.02,56024,1
2018-08-08 08:54,0.02611344,7765000,101.38,202669,1
